brewery,category,medal_count
AleSmith Brewing Co.,American-Style Strong Pale Ale,1
AleSmith Brewing Co.,Barley Wine-Style Ale,4
AleSmith Brewing Co.,Belgian-Style Abbey Ale,1
AleSmith Brewing Co.,Belgian-Style Strong Specialty Ale,1
AleSmith Brewing Co.,Old Ale or Strong Ale,2
AleSmith Brewing Co.,Scotch Ale,1
Alpine Beer Co.,American-Style Strong Pale Ale,1
BNS Brewing & Distilling Co.,American-Style Amber/Red Ale,1
BNS Brewing & Distilling Co.,American-Style India Pale Ale,1
BNS Brewing & Distilling Co.,Imperial Stout,1
BNS Brewing & Distilling Co.,Old Ale or Strong Ale,1
Bagby Beer Co.,Baltic-Style Porter,1
Bagby Beer Co.,Bohemian-Style Pilsener,1
Bagby Beer Co.,Classic Irish-Style Dry Stout,1
Ballast Point Brewing & Spirits - Scripps Ranch,American-Style Pale Ale,1
Ballast Point Brewing & Spirits - Scripps Ranch,Chili Beer,1
Ballast Point Brewing & Spirits - Scripps Ranch,Irish-Style Red Ale,1
Ballast Point Brewing Co,American-Style India Pale Ale,1
Ballast Point Brewing Co.,Imperial India Pale Ale,1
Ballast Point Brewing Co.,Out of Category – Traditionally Brewed Beer,1
Ballast Point Brewing Co. - Home Brew Mart,Fruited American-Style Sour Ale,1
Benchmark Brewing Co.,Session Beer,2
Breakwater Brewing Co.,Fruit Beer or Field Beer,1
Breakwater Brewing Co.,Imperial India Pale Ale,1
Breakwater Brewing Co.,Rye Beer,1
Brit Antrim Benefit Beer Pizza Port Ocean Beach,American-Style Stout,1
Burgeon Beer Co.,Session Beer,1
Coronado Brewing Company Brewpub,American-Style Black Ale,1
Culture Brewing Co.,American-Style Brown Ale,1
Culture Brewing Co.,Golden or Blonde Ale,1
Duck Foot Brewing Co.,Chili Beer,1
Duck Foot Brewing Co.,Wood- and Barrel-Aged Beer,1
Eppig Brewing,Session Beer,1
Green Flash Brewing Co.,American Style Amber/Red Ale,1
Green Flash Brewing Co.,American-Belgo-Style Ale,3
Green Flash Brewing Co.,Belgian-Style Abbey Ale,1
Green Flash Brewing Co.,Wood- and Barrel-Aged Strong Stout,1
Groundswell Brewing Co.,American-Style Brown Ale,1
Groundswell Brewing Co.,Classic Irish-Style Dry Stout,1
Home Brewing Co.,Historical Beer,1
Karl Strauss Brewing Co.,Belgian-Style Abbey Ale,1
Karl Strauss Brewing Co.,Irish-Style Red Ale,2
Karl Strauss Brewing Co.,South German-Style Hefeweizen,1
Karl Strauss Brewing Co. - Carlsbad,Honey Beer,1
Karl Strauss Brewing Co. - La Jolla,English-Style Summer Ale,2
Karl Strauss Brewing Co. - La Jolla,International-Style Pale Ale,1
Karl Strauss Brewing Co. - La Jolla,Session Beer,1
Karl Strauss Brewing Co. - San Diego,American-Style Sour Ale,1
Karl Strauss Brewing Co. - San Diego,Session India Pale Ale,1
Karl Strauss Brewing Co. - San Diego,South German-Style Hefeweizen,1
Kilowatt Brewing,Chocolate Beer,1
Monkey Paw Brewing,English-Style Summer Ale,1
Monkey Paw Brewing Co.,American-Style Strong Pale Ale,1
Mother Earth Brew Co.,Extra Special Bitter,1
New English Brewing Co.,Coffee Beer,2
North Park Beer Co.,Bohemian-Style Pilsener,1
OB Brewery,German-Style Wheat Ale,1
Ocean Beach Brewery,American-Style Pale Ale,1
Oceanside Ale Works,American-Style Black Ale,1
Pizza Port Bressi Ranch,American-Style Amber/Red Ale,1
Pizza Port Carlsbad,American Style Brown Ale,1
Pizza Port Carlsbad,American-Style Brown Ale,1
Pizza Port Carlsbad,Belgian Style Strong Specialty Ale,1
Pizza Port Carlsbad,Belgian-Style Strong Specialty Ale,2
Pizza Port Carlsbad,Classic Irish-Style Dry Stout,1
Pizza Port Carlsbad,Coffee Beer,1
Pizza Port Carlsbad,Coffee Flavored Beer,1
Pizza Port Carlsbad,English Style Brown Ale,1
Pizza Port Carlsbad,English-Style Brown Ale,2
Pizza Port Carlsbad,English-Style India Pale Ale,2
Pizza Port Carlsbad,Export Stout,2
Pizza Port Carlsbad,Imperial Red Ale,3
Pizza Port Carlsbad,Imperial Stout,1
Pizza Port Carlsbad,Scotch Ale,2
Pizza Port Carlsbad,Session Beer,2
Pizza Port Carlsbad,Sweet Stout,1
Pizza Port Ocean Beach,Coffee Beer,1
Pizza Port Ocean Beach,English-Style Mild Ale,2
Pizza Port Ocean Beach,Foreign-Style Stout,1
Pizza Port Ocean Beach,Imperial Red Ale,1
Pizza Port Ocean Beach,Session Beer,2
Pizza Port Solana Beach,American-Style Stout,1
Pizza Port Solana Beach,Classic Irish-Style Dry Stout,1
Pizza Port Solana Beach,Double Red Ale,1
Pizza Port Solana Beach,English-Style Mild Ale,1
Pizza Port Solana Beach,Imperial Red Ale,1
Pizza Port Solana Beach,Oatmeal Stout,3
Port Brewing Co.,Imperial India Pale Ale,1
Port Brewing Co.,Imperial Red Ale,1
Port Brewing Co.,Indigenous Beer,2
Port Brewing Co.,Other Strong Beer,1
Port Brewing Co.,Out of Category – Traditionally Brewed Beer,1
Port Brewing Co. / The Lost Abbey,Wood- and Barrel-Aged Sour Beer,1
Pure Project,Belgian-Style Lambic or Sour Ale,1
Rip Current Brewery,Bock,2
Rip Current Brewery,German-Style Doppelbock or Eisbock,1
Rip Current Brewery,Scotch Ale,1
Rock Bottom Brewery - La Jolla,English Style Brown Ale,1
Saint Archer Brewing Co.,Belgian-Style Witbier,1
Second Chance Beer Co.,American-Style Amber/Red Ale,1
Second Chance Beer Co.,Robust Porter,2
Societe Brewing Co.,American-Style Stout,1
Societe Brewing Co.,International-Style Pale Ale,1
Societe Brewing Co.,Session India Pale Ale,2
South Park Brewing - CA,Oatmeal Stout,1
SouthNorte Beer Co.,Specialty Beer,1
Stone Brewing Co.,American-Style India Black Ale,1
Stone Brewing Co.,Herb and Spice or Chocolate Beer,1
Stone Brewing World Bistro & Gardens - Liberty Station,Other Belgian-Style Ale,3
The Beer Co.,Wood- and Barrel-Aged Strong Beer,1
The Lost Abbey,American-Style Sour Ale,4
The Lost Abbey,Belgian and French-Style Ale,1
The Lost Abbey,Belgian- and French-Style Ale,1
The Lost Abbey,Belgian-Style Lambic or Sour Ale,1
The Lost Abbey,Experimental Beer,1
The Lost Abbey,Wood- and Barrel-Aged Sour Beer,1
URBN St. Brewing Co.,French- and Belgian-Style Saison,1
