id,Name,Rating,Review_Count,lat,long
1,Pure Project,4.5,664,32.8873375,-117.1555986
2,AleSmith Brewing Company,4.5,419,32.8873241,-117.1493986
3,The Original 40 Brewing,4.5,59,32.74824,-117.12662
4,Societe Brewing Company,4,607,32.833889,-117.146375
5,Black Market Brewing - San Diego,4.5,39,32.76479,-117.06093
6,Belching Beaver Brewery North Park,4.5,667,32.75452054,-117.1300297
7,Kilowatt Brewing,4.5,193,32.8333702,-117.1560135
8,Modern Times Beer,4,626,32.754201,-117.206172
9,Ballast Point Little Italy,4.5,1799,32.72752135,-117.1698137
10,Half Door Brewing,4.5,633,32.710263,-117.156272
11,Green Flash Brewing Co,4.5,999,32.9071098,-117.1777588
12,Circle 9 Brewing,4.5,53,32.8254665,-117.160549
13,Bolt Brewery,4.5,238,32.77196926,-117.0205417
14,Gravity Heights,4,318,32.90016,-117.19086
15,Ketch Brewing,4.5,27,32.81315,-117.15545
16,Longship Brewery,4.5,156,32.90419,-117.17192
17,Novo Brazil Brewing,4,230,32.652029,-116.961474
18,Border X Brewing,4.5,295,32.69803,-117.13983
19,Mission Brewery,4.5,694,32.70715,-117.151592
20,Quantum Brewing,4,192,32.83067,-117.13883
